Pizza No.,Order Date,Order Time,Ord - Del time,Order Receipt (mins), Base prep (mins), Styling (mins), Cooking Time (mins),Boxing (mins),Delivery (mins),Oven Temp ºC,Order Mode,Size,Area,Order Taker,Dough Prep,Stylist,Oven,Boxer,Deliverer,Cust. complaint,Reason,,,,,,,
145,06/03/2018,21:02:39,44.9,0.64,3.36,0.55,6.88,0.55,32.9,278.2,Phone,Large,C,Dineo,Tau,Jim,Curry,Rohan,Rita,No,,,,,,,,
146,06/03/2018,21:03:29,38.3,0.72,3.44,0.54,6.45,0.54,26.6,280.3,Phone,Large,E,Dineo,Tau,Jim,Curry,Rohan,Sei,No,,,,,,,,
147,06/03/2018,21:12:36,50.2,0.78,3.41,0.45,6.97,0.45,38.1,275.5,App,Large,E,Dineo,Tau,Jim,Curry,Rohan,Lebo,No,,,,,,,,
148,06/03/2018,21:15:26,46.7,0.76,3.38,0.47,6.52,0.47,35.1,247.7,Phone,Small,E,Dineo,Tau,Jim,Chilli,Rohan,Rita,No,,,,,,,,
149,06/03/2018,21:17:27,37.6,0.70,3.48,0.56,6.58,0.56,25.7,279.2,Phone,Large,A,Dineo,Tau,Jim,Curry,Rohan,Sei,No,,,,,,,,
150,06/03/2018,21:21:30,46.1,0.67,3.29,0.45,6.26,0.45,35.0,243.3,Phone,Small,E,Dineo,Tau,Jim,Chilli,Rohan,Lebo,No,,,,,,,,
151,06/03/2018,21:25:16,53.6,0.62,3.50,0.31,6.90,0.31,42.0,275.9,Phone,Large,E,Dineo,Tau,Jim,Curry,Rohan,Rita,No,,,,,,,,
152,06/03/2018,21:43:17,47.3,0.70,3.29,0.49,7.45,0.49,34.9,292.4,Phone,Family,E,Dineo,Tau,Jim,Wasabi,Rohan,Sei,No,,,,,,,,
153,06/03/2018,21:52:34,37.6,0.76,3.11,0.42,6.13,0.42,26.7,246.9,App,Small,A,Dineo,Tau,Jim,Chilli,Rohan,Lebo,No,,,,,,,,
154,06/03/2018,22:01:43,44.3,0.94,3.26,0.52,7.45,0.52,31.6,286.7,App,Family,B,Dineo,Tau,Jim,Wasabi,Rohan,Rita,No,,,,,,,,
155,06/03/2018,22:06:05,37.2,0.71,3.37,0.52,6.85,0.52,25.3,245.5,Phone,Medium,B,Dineo,Tau,Jim,Chilli,Rohan,Sei,No,,,,,,,,
2923,27/03/2018,18:11:30,37.5,0.74,3.35,0.48,6.27,0.48,26.2,246.0,App,Small,A,Maria,Tau,Lindi,Chilli,Rohan,Kone,yes,Late delivery,,,,,,,
157,06/03/2018,22:27:49,48.8,0.99,3.56,0.67,6.78,0.67,36.1,278.2,Phone,Large,E,Dineo,Tau,Jim,Curry,Rohan,Rita,No,,,,,,,,
158,06/03/2018,22:50:44,43.8,0.74,3.34,0.51,7.05,0.51,31.6,277.0,App,Large,D,Dineo,Tau,Jim,Curry,Rohan,Sei,No,,,,,,,,
159,06/03/2018,22:54:02,55.2,0.71,3.52,0.58,6.90,0.58,42.9,282.9,Phone,Large,C,Dineo,Tau,Jim,Curry,Rohan,Lebo,No,,,,,,,,
160,06/03/2018,23:00:06,37.3,0.87,3.51,0.48,6.84,0.48,25.1,281.2,Phone,Large,A,Dineo,Tau,Jim,Curry,Rohan,Rita,No,,,,,,,,
161,06/03/2018,23:00:37,44.6,0.64,3.03,0.56,6.81,0.56,33.0,275.4,App,Large,D,Dineo,Tau,Jim,Curry,Rohan,Sei,No,,,,,,,,
162,06/03/2018,23:15:29,50.2,0.83,3.53,0.37,7.22,0.37,37.9,298.5,Phone,Family,E,Dineo,Tau,Jim,Wasabi,Rohan,Lebo,No,,,,,,,,
163,06/03/2018,23:20:17,42.4,0.60,3.67,0.32,7.34,0.32,30.1,289.0,Phone,Family,B,Dineo,Tau,Jim,Wasabi,Rohan,Rita,No,,,,,,,,
164,06/03/2018,23:32:19,51.3,0.88,3.51,0.43,7.45,0.43,38.7,288.2,Phone,Family,E,Dineo,Tau,Jim,Wasabi,Rohan,Sei,No,,,,,,,,
165,06/03/2018,23:51:10,42.8,0.65,3.27,0.49,7.33,0.49,30.6,289.7,Phone,Family,E,Dineo,Tau,Jim,Wasabi,Rohan,Lebo,No,,,,,,,,
166,07/03/2018,12:00:26,38.1,0.95,3.59,0.36,7.41,0.36,25.4,285.6,Phone,Family,A,Dineo,Vivaan,Sally,Wasabi,Pat,Rita,No,,,,,,,,
167,07/03/2018,12:04:10,37.0,0.61,3.22,0.46,7.42,0.46,24.8,281.6,App,Family,A,Dineo,Vivaan,Sally,Wasabi,Pat,Sei,No,,,,,,,,
168,07/03/2018,12:10:32,40.6,0.77,3.50,0.59,6.83,0.59,28.4,282.5,Phone,Large,B,Dineo,Vivaan,Sally,Curry,Pat,Lebo,No,,,,,,,,
169,07/03/2018,12:27:06,38.5,0.89,3.64,0.73,6.79,0.73,25.7,275.8,Phone,Large,B,Dineo,Vivaan,Sally,Curry,Pat,Rita,No,,,,,,,,
170,07/03/2018,12:31:00,51.9,0.97,3.38,0.56,6.60,0.56,39.8,247.8,Phone,Medium,E,Dineo,Vivaan,Sally,Chilli,Pat,Sei,No,,,,,,,,
171,07/03/2018,12:33:22,53.7,0.74,3.34,0.33,6.80,0.33,42.1,284.8,App,Large,E,Dineo,Vivaan,Sally,Curry,Pat,Lebo,No,,,,,,,,
172,07/03/2018,12:34:46,39.1,0.88,3.36,0.49,7.30,0.49,26.6,288.3,Phone,Family,A,Dineo,Vivaan,Sally,Wasabi,Pat,Rita,No,,,,,,,,
173,07/03/2018,12:35:49,35.8,0.78,3.14,0.55,7.37,0.55,23.4,285.6,Phone,Family,A,Dineo,Vivaan,Sally,Wasabi,Pat,Sei,No,,,,,,,,
174,07/03/2018,12:41:31,35.8,0.56,3.32,0.65,6.96,0.65,23.7,279.8,Phone,Large,B,Dineo,Vivaan,Sally,Curry,Pat,Lebo,No,,,,,,,,
175,07/03/2018,12:49:55,42.2,0.66,3.37,0.44,6.61,0.44,30.7,249.7,App,Medium,D,Dineo,Vivaan,Sally,Chilli,Pat,Rita,No,,,,,,,,
176,07/03/2018,12:56:11,47.4,0.63,3.11,0.42,6.24,0.42,36.6,246.4,Phone,Small,C,Dineo,Vivaan,Sally,Chilli,Pat,Sei,No,,,,,,,,
177,07/03/2018,12:57:07,42.1,0.51,3.31,0.53,7.00,0.53,30.2,285.4,Phone,Large,D,Dineo,Vivaan,Sally,Curry,Pat,Lebo,No,,,,,,,,
178,07/03/2018,13:02:30,44.6,0.46,3.52,0.49,7.09,0.49,32.6,280.2,App,Family,D,Dineo,Vivaan,Sally,Wasabi,Pat,Rita,No,,,,,,,,
179,07/03/2018,13:04:03,41.4,0.77,3.16,0.53,6.62,0.53,29.8,245.6,App,Small,B,Dineo,Vivaan,Sally,Chilli,Pat,Sei,No,,,,,,,,
180,07/03/2018,13:11:23,37.1,0.93,3.52,0.34,6.34,0.34,25.7,242.7,Phone,Small,B,Dineo,Vivaan,Sally,Chilli,Pat,Lebo,No,,,,,,,,
181,07/03/2018,13:13:23,45.3,0.49,3.41,0.41,6.41,0.41,34.1,244.9,Phone,Medium,E,Dineo,Vivaan,Sally,Chilli,Pat,Rita,No,,,,,,,,
182,07/03/2018,13:13:42,46.6,0.50,3.55,0.49,7.42,0.49,34.2,283.9,App,Family,E,Dineo,Vivaan,Sally,Wasabi,Pat,Kone,No,,,,,,,,
183,07/03/2018,13:26:13,39.6,0.72,3.29,0.56,6.54,0.56,27.9,248.7,App,Small,A,Dineo,Vivaan,Sally,Chilli,Pat,Jeff,No,,,,,,,,
184,07/03/2018,13:28:15,41.6,0.66,3.20,0.55,6.85,0.55,29.8,277.4,Phone,Large,A,Dineo,Vivaan,Sally,Curry,Pat,Mary,No,,,,,,,,
185,07/03/2018,13:33:56,38.5,0.75,3.19,0.47,7.21,0.47,26.4,281.2,Phone,Family,B,Dineo,Vivaan,Sally,Wasabi,Pat,Kone,No,,,,,,,,
186,07/03/2018,13:35:45,44.1,0.63,3.03,0.38,6.74,0.38,32.9,280.6,Phone,Large,D,Dineo,Vivaan,Sally,Curry,Pat,Jeff,yes,Wrong topping,,,,,,,
187,07/03/2018,13:38:16,49.5,0.75,3.27,0.47,7.22,0.47,37.3,289.8,Phone,Family,C,Dineo,Vivaan,Sally,Wasabi,Pat,Mary,No,,,,,,,,
188,07/03/2018,13:38:43,45.6,0.80,3.34,0.56,7.09,0.56,33.2,282.9,Phone,Large,E,Dineo,Vivaan,Sally,Curry,Pat,Kone,No,,,,,,,,
189,07/03/2018,13:38:58,40.9,0.79,3.48,0.45,6.59,0.45,29.1,275.0,Phone,Large,E,Dineo,Vivaan,Sally,Curry,Pat,Jeff,No,,,,,,,,
190,07/03/2018,13:43:55,44.8,0.77,3.39,0.44,7.30,0.44,32.5,290.7,App,Family,E,Dineo,Vivaan,Sally,Wasabi,Pat,Mary,No,,,,,,,,
191,07/03/2018,13:48:38,33.6,0.68,3.18,0.63,6.89,0.63,21.6,281.6,Phone,Large,A,Dineo,Vivaan,Sally,Curry,Pat,Kone,No,,,,,,,,
192,07/03/2018,13:56:03,42.2,0.82,3.49,0.57,7.34,0.57,29.4,288.1,App,Family,B,Dineo,Vivaan,Sally,Wasabi,Pat,Jeff,No,,,,,,,,
193,07/03/2018,14:03:04,40.5,0.47,3.35,0.45,7.29,0.45,28.5,286.0,Phone,Family,B,Dineo,Vivaan,Sally,Wasabi,Pat,Mary,No,,,,,,,,
194,07/03/2018,14:07:03,42.0,0.92,3.64,0.47,6.83,0.47,29.7,275.1,App,Large,A,Dineo,Vivaan,Sally,Curry,Pat,Kone,No,,,,,,,,
195,07/03/2018,14:07:58,49.4,0.60,3.50,0.33,7.23,0.33,37.4,276.3,Phone,Large,E,Dineo,Vivaan,Sally,Curry,Pat,Jeff,No,,,,,,,,
196,07/03/2018,14:08:41,40.5,0.78,3.18,0.56,6.49,0.56,28.9,245.7,Phone,Small,D,Dineo,Vivaan,Sally,Chilli,Pat,Mary,No,,,,,,,,
197,07/03/2018,14:15:39,37.7,0.63,3.72,0.43,7.31,0.43,25.2,286.5,Phone,Family,C,Dineo,Vivaan,Sally,Wasabi,Pat,Kone,No,,,,,,,,
198,07/03/2018,14:24:02,40.2,0.55,3.45,0.53,6.76,0.53,28.4,278.1,Phone,Large,A,Dineo,Vivaan,Sally,Curry,Pat,Jeff,No,,,,,,,,
8826,11/05/2018,18:34:59,37.7,0.52,2.90,0.40,6.83,0.40,26.7,274.6,Phone,Large,A,Maria,Vivaan,Jim,Curry,Pat,Lebo,yes,Late delivery,,,,,,,
200,07/03/2018,14:26:51,52.7,0.68,3.36,0.58,7.28,0.58,40.3,289.8,Phone,Family,E,Dineo,Vivaan,Sally,Wasabi,Pat,Kone,No,,,,,,,,
201,07/03/2018,14:38:44,39.7,0.63,3.31,0.63,6.49,0.63,28.0,243.3,App,Small,B,Dineo,Vivaan,Sally,Chilli,Pat,Jeff,No,,,,,,,,
202,07/03/2018,14:46:29,56.4,0.82,3.24,0.36,6.71,0.36,44.9,250.5,Phone,Medium,E,Dineo,Vivaan,Sally,Chilli,Pat,Mary,No,,,,,,,,
203,07/03/2018,14:47:35,49.8,0.73,3.41,0.39,7.13,0.39,37.7,277.2,Phone,Large,E,Dineo,Vivaan,Sally,Curry,Pat,Kone,No,,,,,,,,
204,07/03/2018,14:48:49,38.2,0.94,3.22,0.51,7.11,0.51,25.9,277.6,Phone,Large,A,Dineo,Vivaan,Sally,Curry,Pat,Jeff,No,,,,,,,,
205,07/03/2018,14:54:03,39.1,0.81,3.29,0.48,6.94,0.48,27.1,279.4,Phone,Large,A,Dineo,Vivaan,Sally,Curry,Pat,Mary,No,,,,,,,,
206,07/03/2018,14:56:43,42.3,0.78,3.29,0.37,7.14,0.37,30.4,275.2,App,Large,B,Dineo,Vivaan,Sally,Curry,Pat,Kone,No,,,,,,,,
207,07/03/2018,15:02:05,42.7,0.51,3.24,0.44,6.86,0.44,31.2,274.2,App,Large,B,Dineo,Vivaan,Sally,Curry,Pat,Jeff,No,,,,,,,,
208,07/03/2018,15:07:23,52.8,0.62,3.51,0.41,6.76,0.41,41.0,284.8,App,Family,E,Dineo,Vivaan,Sally,Wasabi,Pat,Mary,No,,,,,,,,
209,07/03/2018,15:15:42,48.7,0.94,3.43,0.55,6.82,0.55,36.4,279.5,App,Large,E,Dineo,Vivaan,Sally,Curry,Pat,Kone,No,,,,,,,,
210,07/03/2018,15:16:04,38.2,0.61,3.22,0.46,7.00,0.46,26.4,276.8,Phone,Large,A,Dineo,Vivaan,Sally,Curry,Pat,Jeff,No,,,,,,,,
211,07/03/2018,15:21:56,40.0,0.86,3.43,0.42,7.07,0.42,27.8,273.5,Phone,Large,A,Dineo,Vivaan,Sally,Curry,Pat,Mary,No,,,,,,,,
212,07/03/2018,15:24:47,46.4,0.90,3.23,0.46,6.47,0.46,34.9,242.0,App,Small,B,Dineo,Vivaan,Sally,Chilli,Pat,Kone,No,,,,,,,,
213,07/03/2018,15:37:31,42.4,0.76,3.30,0.66,6.91,0.66,30.1,279.1,App,Large,D,Dineo,Vivaan,Sally,Curry,Pat,Jeff,No,,,,,,,,
214,07/03/2018,15:40:24,47.3,0.79,3.46,0.54,6.87,0.54,35.1,277.5,Phone,Large,C,Dineo,Vivaan,Sally,Curry,Pat,Mary,No,,,,,,,,
215,07/03/2018,15:40:35,47.1,0.60,3.52,0.34,7.12,0.34,35.2,279.3,App,Large,E,Dineo,Vivaan,Sally,Curry,Pat,Kone,No,,,,,,,,
216,07/03/2018,15:50:00,42.4,0.75,3.32,0.42,6.61,0.42,30.9,243.2,Phone,Medium,E,Dineo,Vivaan,Sally,Chilli,Pat,Jeff,No,,,,,,,,
217,07/03/2018,15:55:24,47.6,0.67,3.70,0.46,7.21,0.46,35.1,289.3,Phone,Family,E,Dineo,Vivaan,Sally,Wasabi,Pat,Mary,yes,Wrong topping,,,,,,,
218,07/03/2018,16:01:43,39.3,0.89,3.78,0.46,7.06,0.46,26.7,271.8,Phone,Large,A,Dineo,Vivaan,Sally,Curry,Pat,Kone,No,,,,,,,,
219,07/03/2018,16:05:03,51.9,0.71,3.40,0.43,6.87,0.43,40.0,274.2,Phone,Large,E,Dineo,Vivaan,Sally,Curry,Pat,Jeff,No,,,,,,,,
220,07/03/2018,16:13:27,55.1,0.63,3.42,0.52,7.01,0.52,43.0,285.1,Phone,Large,E,Dineo,Vivaan,Sally,Curry,Pat,Mary,No,,,,,,,,
221,07/03/2018,16:17:04,53.8,0.69,3.59,0.40,7.02,0.40,41.7,278.3,Phone,Large,E,Dineo,Vivaan,Sally,Curry,Pat,Kone,No,,,,,,,,
222,07/03/2018,16:17:08,40.0,0.70,3.81,0.53,7.31,0.53,27.2,289.2,Phone,Family,A,Dineo,Vivaan,Sally,Wasabi,Pat,Jeff,No,,,,,,,,
223,07/03/2018,16:26:13,41.8,0.85,3.21,0.49,7.01,0.49,29.7,280.0,Phone,Large,B,Dineo,Vivaan,Sally,Curry,Pat,Mary,No,,,,,,,,
224,07/03/2018,16:26:21,42.1,0.71,3.34,0.44,6.49,0.44,30.7,241.7,Phone,Medium,B,Dineo,Vivaan,Sally,Chilli,Pat,Kone,No,,,,,,,,
225,07/03/2018,16:28:11,36.7,0.64,3.10,0.54,6.25,0.54,25.6,243.2,Phone,Small,A,Dineo,Vivaan,Sally,Chilli,Pat,Jeff,No,,,,,,,,
8237,06/05/2018,17:57:03,37.7,0.65,3.07,0.50,6.38,0.50,26.6,247.4,App,Small,A,Dineo,Tau,Tsepo,Chilli,Rohan,Kone,yes,late delivery,,,,,,,
227,07/03/2018,16:39:15,42.2,0.53,3.24,0.37,7.22,0.37,30.5,287.1,App,Family,D,Dineo,Vivaan,Sally,Wasabi,Pat,Kone,No,,,,,,,,
228,07/03/2018,16:46:36,46.1,0.59,3.48,0.53,7.22,0.53,33.8,290.9,Phone,Family,C,Dineo,Vivaan,Sally,Wasabi,Pat,Jeff,No,,,,,,,,
229,07/03/2018,17:01:24,36.7,0.91,3.49,0.67,6.76,0.67,24.2,274.2,Phone,Large,A,Dineo,Vivaan,Sally,Curry,Pat,Mary,No,,,,,,,,
230,07/03/2018,17:17:02,39.4,0.75,3.47,0.43,7.29,0.43,27.0,292.4,App,Family,D,Dineo,Vivaan,Sally,Wasabi,Pat,Kone,No,,,,,,,,
7926,04/05/2018,19:55:17,37.8,0.92,3.34,0.61,6.31,0.61,26.0,249.4,Phone,Small,A,Dineo,Tau,Evelyn,Chilli,Bongani,Sei,yes,Late delivery,,,,,,,
11898,03/06/2018,18:46:35,37.8,0.63,3.47,0.44,6.48,0.44,26.4,239.6,Phone,Medium,B,Maria,Tau,Evelyn,Chilli,Bongni,Mary,yes,Late delivery,,,,,,,
11330,30/05/2018,17:47:46,37.9,0.70,3.60,0.57,6.39,0.57,26.0,249.0,App,Medium,B,Maria,Alexia,Tsepo,Chilli,Pat,Rita,yes,Late delivery,,,,,,,
10094,20/05/2018,17:51:27,37.9,0.94,3.28,0.48,6.34,0.48,26.4,243.4,App,Small,B,Kim,Vivaan,Liz,Chilli,Bongani,Kone,yes,Late delivery,,,,,,,
10950,26/05/2018,21:59:37,38.1,0.67,3.18,0.46,6.67,0.46,26.6,246.8,App,Small,B,Dineo,Alexia,Jim,Chilli,Rohan,Kone,Yes,Late Delivery,,,,,,,
11738,02/06/2018,17:39:03,38.1,0.98,3.30,0.40,6.85,0.40,26.2,276.5,App,Large,B,Maria,Vivaan,Tsepo,Curry,Pat,Mary,yes,Late delivery,,,,,,,
4022,04/04/2018,18:25:51,38.1,0.48,3.54,0.46,7.02,0.46,26.2,271.6,Phone,Large,A,Kim,Alexia,Jim,Curry,Bongani,Lebo,yes,Late delivery,,,,,,,
7722,03/05/2018,17:08:40,38.1,0.66,3.44,0.21,6.53,0.21,27.1,241.7,App,Medium,A,Dineo,Tau,Tsepo,Chilli,Bongani,Mary,yes,Late delivery,,,,,,,
239,07/03/2018,18:06:37,42.9,0.67,3.25,0.56,6.56,0.56,31.3,247.7,App,Medium,E,Dineo,Vivaan,Jim,Chilli,Pat,Kone,No,,,,,,,,
240,07/03/2018,18:06:41,52.4,0.79,3.59,0.41,6.90,0.41,40.3,270.0,Phone,Large,E,Dineo,Vivaan,Jim,Curry,Pat,Jeff,No,,,,,,,,
241,07/03/2018,18:10:18,43.7,0.77,3.10,0.59,6.65,0.59,32.0,238.2,Phone,Small,A,Dineo,Vivaan,Jim,Chilli,Pat,Mary,No,,,,,,,,
242,07/03/2018,18:14:47,37.5,0.63,3.47,0.50,6.40,0.50,26.0,245.5,Phone,Medium,A,Dineo,Vivaan,Jim,Chilli,Pat,Kone,No,,,,,,,,
243,07/03/2018,18:15:20,41.1,0.60,3.51,0.44,6.79,0.44,29.4,275.9,Phone,Large,B,Dineo,Vivaan,Jim,Curry,Pat,Jeff,No,,,,,,,,
244,07/03/2018,18:19:12,37.7,0.72,3.36,0.55,6.86,0.55,25.6,274.0,App,Large,A,Dineo,Vivaan,Jim,Curry,Pat,Mary,No,,,,,,,,
245,07/03/2018,18:30:49,36.2,0.58,3.53,0.53,6.24,0.53,24.8,243.7,Phone,Small,B,Dineo,Vivaan,Jim,Chilli,Pat,Kone,No,,,,,,,,
246,07/03/2018,18:34:10,34.7,0.66,3.33,0.43,6.39,0.43,23.5,245.0,Phone,Small,B,Dineo,Vivaan,Jim,Chilli,Pat,Jeff,No,,,,,,,,
247,07/03/2018,18:40:58,37.6,0.89,3.45,0.32,7.41,0.32,25.2,293.7,Phone,Family,A,Dineo,Vivaan,Jim,Wasabi,Pat,Mary,No,,,,,,,,
248,07/03/2018,18:44:06,50.3,0.85,3.30,0.36,6.46,0.36,39.0,246.9,Phone,Medium,E,Dineo,Vivaan,Jim,Chilli,Pat,Kone,No,,,,,,,,
249,07/03/2018,18:53:12,42.8,0.80,3.30,0.60,7.30,0.60,30.2,291.4,Phone,Family,A,Dineo,Vivaan,Jim,Wasabi,Pat,Jeff,No,,,,,,,,
250,07/03/2018,18:54:16,40.4,0.77,3.49,0.43,6.95,0.43,28.3,290.2,Phone,Family,D,Dineo,Vivaan,Jim,Chilli,Pat,Mary,yes,Too Doughy,,,,,,,
251,07/03/2018,19:03:28,44.8,0.81,3.48,0.50,6.65,0.50,32.9,271.7,Phone,Large,D,Dineo,Vivaan,Jim,Curry,Pat,Kone,No,,,,,,,,
252,07/03/2018,19:03:36,58.7,0.76,3.32,0.45,7.15,0.45,46.5,283.3,phone,Family,C,Dineo,Vivaan,Jim,Wasabi,Pat,Jeff,No,,,,,,,,
253,07/03/2018,19:04:16,42.9,0.76,3.55,0.50,6.99,0.50,30.6,289.2,phone,Family,A,Dineo,Vivaan,Jim,Wasabi,Pat,Mary,No,,,,,,,,
254,07/03/2018,19:16:57,35.8,0.62,3.40,0.46,6.74,0.46,24.1,241.5,Phone,Medium,B,Dineo,Vivaan,Jim,Chilli,Pat,Kone,No,,,,,,,,
255,07/03/2018,19:21:03,50.0,0.59,3.39,0.58,6.22,0.58,38.7,248.3,App,Small,E,Dineo,Vivaan,Jim,Chilli,Pat,Kone,No,,,,,,,,
256,07/03/2018,19:24:58,40.1,0.80,3.18,0.46,6.21,0.46,29.0,242.8,Phone,Small,E,Dineo,Vivaan,Jim,Chilli,Pat,Jeff,No,,,,,,,,
257,07/03/2018,19:28:37,44.0,0.98,3.53,0.53,6.42,0.53,32.0,289.0,Phone,Family,E,Dineo,Vivaan,Jim,Chilli,Pat,Mary,yes,Too Doughy,,,,,,,
258,07/03/2018,19:31:41,37.7,0.85,3.28,0.43,6.57,0.43,26.2,241.5,App,Small,A,Dineo,Vivaan,Jim,Chilli,Pat,Kone,No,,,,,,,,
259,07/03/2018,19:32:09,38.1,0.77,3.06,0.41,6.72,0.41,26.7,242.8,Phone,Medium,A,Dineo,Vivaan,Jim,Chilli,Pat,Jeff,No,,,,,,,,
260,07/03/2018,19:35:02,50.6,0.90,3.27,0.44,6.42,0.44,39.1,245.5,Phone,Medium,E,Dineo,Vivaan,Jim,Chilli,Pat,Mary,No,,,,,,,,
261,07/03/2018,19:45:02,46.8,0.90,3.18,0.52,6.38,0.52,35.3,246.7,Phone,Small,E,Dineo,Vivaan,Jim,Chilli,Pat,Kone,No,,,,,,,,
262,07/03/2018,19:45:15,44.0,0.62,3.33,0.49,6.78,0.49,32.2,273.2,Phone,Large,B,Dineo,Vivaan,Jim,Curry,Pat,Jeff,No,,,,,,,,
263,07/03/2018,19:46:53,39.6,0.62,3.07,0.52,6.34,0.52,28.5,243.7,Phone,Small,D,Dineo,Vivaan,Jim,Chilli,Pat,Mary,No,,,,,,,,
264,07/03/2018,19:48:46,45.3,0.89,3.19,0.39,6.70,0.39,33.7,246.8,Phone,Medium,E,Dineo,Vivaan,Jim,Chilli,Pat,Kone,yes,Wrong topping,,,,,,,
265,07/03/2018,19:51:02,43.4,0.96,3.72,0.59,7.38,0.59,30.1,290.3,Phone,Family,B,Dineo,Vivaan,Jim,Wasabi,Pat,Jeff,No,,,,,,,,
266,07/03/2018,19:56:24,49.1,0.85,3.48,0.62,7.29,0.62,36.2,283.8,Phone,Family,E,Dineo,Vivaan,Jim,Wasabi,Pat,Mary,No,,,,,,,,
267,07/03/2018,19:58:40,38.8,0.95,3.50,0.65,6.43,0.65,26.7,244.4,Phone,Medium,A,Dineo,Vivaan,Jim,Chilli,Pat,Kone,No,,,,,,,,
268,07/03/2018,20:00:45,53.5,0.52,3.34,0.44,6.88,0.44,41.9,277.7,Phone,Large,C,Dineo,Vivaan,Jim,Curry,Pat,Jeff,No,,,,,,,,
269,07/03/2018,20:06:24,39.7,0.60,3.41,0.56,6.60,0.56,28.0,241.3,App,Medium,A,Dineo,Vivaan,Jim,Chilli,Pat,Mary,No,,,,,,,,
270,07/03/2018,20:16:43,37.8,0.71,3.09,0.51,6.60,0.51,26.3,245.4,App,Medium,A,Dineo,Vivaan,Jim,Chilli,Pat,Kone,No,,,,,,,,
271,07/03/2018,20:17:05,37.7,0.65,3.40,0.39,6.82,0.39,26.0,279.3,Phone,Large,B,Dineo,Vivaan,Jim,Curry,Pat,Jeff,No,,,,,,,,
272,07/03/2018,20:19:44,39.8,0.40,3.29,0.36,6.87,0.36,28.5,276.2,Phone,Large,B,Dineo,Vivaan,Jim,Curry,Pat,Mary,No,,,,,,,,
273,07/03/2018,20:22:37,40.7,0.92,3.17,0.40,7.11,0.40,28.7,273.7,Phone,Large,A,Dineo,Vivaan,Jim,Curry,Pat,Kone,No,,,,,,,,
274,07/03/2018,20:22:46,51.2,0.91,3.25,0.45,6.70,0.45,39.4,245.4,App,Medium,E,Dineo,Vivaan,Jim,Chilli,Pat,Jeff,No,,,,,,,,
275,07/03/2018,20:33:05,47.1,0.60,3.30,0.44,6.75,0.44,35.6,246.0,Phone,Medium,B,Dineo,Vivaan,Jim,Chilli,Pat,Mary,No,,,,,,,,
276,07/03/2018,20:38:22,44.7,0.84,3.29,0.40,6.47,0.40,33.3,247.2,App,Medium,E,Dineo,Vivaan,Jim,Chilli,Pat,Kone,No,,,,,,,,
277,07/03/2018,20:45:07,46.1,0.48,3.44,0.42,7.32,0.42,34.0,284.5,App,Family,E,Dineo,Vivaan,Jim,Wasabi,Pat,Jeff,No,,,,,,,,
278,07/03/2018,20:56:04,36.3,0.74,3.26,0.38,6.39,0.38,25.1,242.3,App,Small,A,Dineo,Vivaan,Jim,Chilli,Pat,Mary,No,,,,,,,,
279,07/03/2018,21:02:44,38.4,0.81,3.22,0.48,6.64,0.48,26.8,279.2,Phone,Large,A,Dineo,Vivaan,Jim,Curry,Pat,Kone,No,,,,,,,,
280,07/03/2018,21:13:38,36.5,0.73,3.35,0.34,7.30,0.34,24.4,295.1,App,Family,B,Dineo,Vivaan,Jim,Wasabi,Pat,Jeff,No,,,,,,,,
281,07/03/2018,21:16:03,44.4,0.98,3.69,0.47,7.16,0.47,31.6,287.3,App,Family,D,Dineo,Vivaan,Jim,Wasabi,Pat,Mary,No,,,,,,,,
282,07/03/2018,21:25:28,31.2,0.36,3.53,0.62,6.25,0.62,19.8,246.1,Phone,Small,C,Dineo,Vivaan,Jim,Chilli,Pat,Kone,No,,,,,,,,
283,07/03/2018,21:35:45,47.5,0.79,3.15,0.43,6.86,0.43,35.9,273.7,Phone,Large,E,Dineo,Vivaan,Jim,Curry,Pat,Jeff,No,,,,,,,,
284,07/03/2018,21:39:50,45.5,0.73,3.35,0.49,6.71,0.49,33.7,248.6,Phone,Medium,E,Dineo,Vivaan,Jim,Chilli,Pat,Mary,No,,,,,,,,
285,07/03/2018,21:39:55,48.4,0.58,3.46,0.47,7.13,0.47,36.3,282.7,Phone,Family,E,Dineo,Vivaan,Jim,Wasabi,Pat,Kone,No,,,,,,,,
286,07/03/2018,21:48:58,34.5,0.68,3.40,0.40,6.72,0.40,22.8,249.7,Phone,Medium,A,Dineo,Vivaan,Jim,Chilli,Pat,Jeff,No,,,,,,,,
287,07/03/2018,21:50:01,38.4,0.91,3.08,0.46,6.39,0.46,27.1,247.7,Phone,Small,B,Dineo,Vivaan,Jim,Chilli,Pat,Mary,No,,,,,,,,
288,07/03/2018,21:53:12,48.5,0.73,3.62,0.45,7.42,0.45,35.9,283.8,App,Family,B,Dineo,Vivaan,Jim,Wasabi,Pat,Kone,No,,,,,,,,
289,07/03/2018,21:59:47,41.7,0.85,3.75,0.38,7.36,0.38,29.0,291.3,Phone,Family,A,Dineo,Vivaan,Jim,Wasabi,Pat,Jeff,No,,,,,,,,
290,07/03/2018,22:04:35,50.2,0.81,3.15,0.57,6.38,0.57,38.8,244.0,Phone,Medium,E,Dineo,Vivaan,Jim,Chilli,Pat,Mary,No,,,,,,,,
